,logEvent,labels
110,"de.tara_systems.quickline.qluhdutils.api.Failure: Error while loading ssoProfiles
	at de.tara_systems.quickline.traxisclient.impl.profile.ProfilesLoader$ProfilesLoaderHandlerThread$.handleMessage(ProfilesLoader.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",50
111,ENotAuthorized: Customer '' is not authorized to view channel '' [|||||||],17
112,loadSubscriberToken(): java.lang.Throwable: [invalid_grant] Die Anmeldung ist fehlgeschlagen (Benutzername oder Passwort falsch),49
113,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [|||||||],17
114,"java.lang.Throwable: Error while loading ssoProfiles
	at de.tara_systems.quickline.traxisclient.impl.profile.ProfilesLoader$ProfilesLoaderHandlerThread$.handleMessage(ProfilesLoader.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",50
115,ENotAuthorized: Customer '' is not authorized to view channel '' [||],17
116,resume() ignored. Called in state: PLAYING,49
117,smPlayer.start() failed,49
118,"onError(): com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""login-api-trust.quickline.ch"": No address associated with hostname",11
119,"onFailure() com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""login-api-trust.quickline.ch"": No address associated with hostname",11
120,onError(): java.net.SocketException: Software caused connection abort,46
121,"failed to save profile
java.lang.Throwable: Error while updating profile
	at de.tara_systems.quickline.traxisclient.impl.profile.ProfileUpdater$ProfileUpdaterHandlerThread$.handleMessage(ProfileUpdater.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",50
122,loadSettingFromQmcProxy(): com.android.volley.ServerError,46
123,"java.net.UnknownHostException: Unable to resolve host ""uhd-traxis-api.quickline.ch"": No address associated with hostname",2
124,"de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""login-api-trust.quickline.ch"": No address associated with hostname",11
125,"onError(): com.android.volley.NoConnectionError: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Software caused connection abort",46
126,"onError(): javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Connection reset by peer",46
127,Uri= wasCanceled=true,49
128,onError(): EQuotaExceeded: Recording quota of customer '' exceeded,49
129,"log(): [SingleSignOn] Error: java.lang.Throwable: java.net.UnknownHostException: Unable to resolve host ""login-api.quickline.ch"": No address associated with hostname",49
130,"log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.net.UnknownHostException: Unable to resolve host ""login-api.quickline.ch"": No address associated with hostname",49
131,jsonToTraxisColor(): Color not parsable (turkis),49
132,"[Hal.Tuner           ] Can not find tuner
",34
133,Cannot manage channels. A list is null.,49
134,onFailure() com.android.volley.NoConnectionError: javax.net.ssl.SSLHandshakeException: Handshake failed,46
135,getPositionInLive() live: position!=null && resumeTimeLiveStream==null and player is playing... ,49
136,de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.NoConnectionError: javax.net.ssl.SSLHandshakeException: Handshake failed,46
137,"de.tara_systems.quickline.qluhdutils.api.Failure: Error while loading ssoProfiles
	at de.tara_systems.quickline.traxisclient.impl.profile.StbProfilesLoader$ProfilesLoaderHandlerThread$.handleMessage(StbProfilesLoader.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
",50
138,"[TtxServer.HttpServer] Connection not alive

",49
139,"[Hal.Tuner           ] InarisHalTunerBroadcomDestroy
",34
140,"[Hal                 ] Cannot open BroadcomTuner 
",49
141,"E  ::, [AppE               ] Process sleep took ms
",4
142,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [||||],17
143,de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.TimeoutError,35
144,ENotAuthorized: Customer '' is not authorized to view channel '' [||||],17
145,"Booking recording failed for Love and Hate Crime
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
146,onTimeShiftPlay(): contentId is null ,49
147,jsonToTraxisColor(): Color not parsable (gold),49
148,com.android.volley.TimeoutError,35
149,Request timeout,49
150,"Failed to load Channels trying to tune to the first available channel. Error: getChannel(): not found for id=
java.lang.Throwable: getChannel(): not found for id=
	at de.tara_systems.quickline.tangoclient.impl.channel.ChannelManagerImpl.getChannel(ChannelManagerImpl.java:)
	at com.android.tv.MainActivity.onChannelsLoaded(MainActivity.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at org.greenrobot.eventbus.EventBus.invokeSubscriber(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postToSubscription(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEventForEventType(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.postSingleEvent(EventBus.java:)
	at org.greenrobot.eventbus.EventBus.post(EventBus.java:)
	at com.android.tv.ChannelTuner.setChannelsLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onChannelListChanged(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.onProfileLoaded(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$.onSuccess(ChannelTuner.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.notifyCallbacks(Future.java:)
	at de.tara_systems.quickline.qluhdutils.api.Future.addCallback(Future.java:)
	at com.android.tv.ChannelTuner.loadCurrentProfileAsync(ChannelTuner.java:)
	at com.android.tv.ChannelTuner.access$(ChannelTuner.java:)
	at com.android.tv.ChannelTuner$$.run(ChannelTuner.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.app.ActivityThread.main(ActivityThread.java:)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:)
",36
151,"onPlayerError(): sourceException=com.google.android.exoplayer.ParserException: Couldn't match NAME=""(.+?)"" in #EXT-X-MEDIA:URI=""_HLS(start=_stop=)_(start=_stop=).mu"",TYPE=AUDIO,GROUP-ID=""MPEG- AAC -  kbps -  kHz - "",LANGUAGE=""en"",NAME="""",DEFAULT=YES,DEFAULT=YES msg=null",41
152,onFailure() com.android.volley.VolleyError: java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
153,onError(): com.android.volley.VolleyError: java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
154,onError(): ERecordingManagement: Unable to cancel a network recording of type Event,49
155,"onError(): EInvalidSTBId: Invalid parameter 'StbId', value 'BBFFFFFF'",49
156,"loadTraxisProfiles(): EInvalidSTBId: Invalid parameter 'StbId', value 'ACFC'",49
157,loadSubscriberToken(): com.android.volley.VolleyError: java.lang.NullPointerException: Attempt to invoke virtual method 'int java.lang.String.length()' on a null object reference,14
158,de.tara_systems.quickline.ssoclient.impl.requests.SsoError: [invalid_request] Ein Fehler ist aufgetreten,49
159,"de.tara_systems.quickline.qluhdutils.api.Failure: de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.TimeoutError
	at de.tara_systems.quickline.traxisclient.impl.channel.ChannelsLoader$ChannelsLoaderHandlerThread$.handleMessage(ChannelsLoader.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: de.tara_systems.quickline.qluhdutils.api.Failure: com.android.volley.TimeoutError
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	...  more
Caused by: com.android.volley.TimeoutError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
160,"com.android.volley.NoConnectionError: java.net.UnknownHostException: Unable to resolve host ""uhd-traxis-api.quickline.ch"": No address associated with hostname",11
161,"[Hal.Tuner           ] NEXUS_Frontend_Release
",34
162,"Booking recording failed for Rote Rosen
java.lang.Throwable: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
163,onPlayerError(): sourceException=com.google.android.exoplayer.upstream.HttpDataSource$HttpDataSourceException: java.net.SocketTimeoutException: timeout msg=null,41
164,onFailure() com.android.volley.TimeoutError,35
165,onError(): invalid_grant:  [invalid_token],49
166,"onError(): com.android.volley.NoConnectionError: javax.net.ssl.SSLException: Read error: ssl: I/O error during system call, Connection reset by peer",46
167,onError(): ENotAuthorized: Profile '' does not belong to customer '',49
168,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [||||||||||||||||||||],17
169,onError(): ENotAuthorized: Customer '' is not authorized to view channel '' [||||||||],17
170,"onError(): EInvalidSTBId: Invalid parameter 'StbId', value 'ACFC'",49
171,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: javax.net.ssl.SSLHandshakeException: Handshake failed,46
172,log(): [SingleSignOn] Error: de.tara_systems.quickline.qluhdutils.api.Failure: java.lang.Throwable: javax.net.ssl.SSLHandshakeException: Handshake failed,46
173,loadProfileToken(): Error receiving profile token,49
174,loadCustomer(): java.lang.Throwable: ENotAuthorized: Profile '' does not belong to customer '',49
175,loadChannelLocations(): de.tara_systems.quickline.qluhdutils.api.Failure: Request timeout,49
176,"[SM.Service          ] No transponder found for unknown service 
",44
